customer_id,capacity,scraped_date
101,150,2026-04-05
102,130,2026-04-05
106,150,2026-04-05
107,200,2026-04-05
108,65,2026-04-05
110,50,2026-04-05
111,50,2026-04-05
112,200,2026-04-05
113,150,2026-04-05
115,200,2026-04-05
117,45,2026-04-05
118,55,2026-04-05
119,150,2026-04-05
121,50,2026-04-05
123,50,2026-04-05
124,90,2026-04-05
125,200,2026-04-05
126,110,2026-04-05
127,150,2026-04-05
130,200,2026-04-05
131,100,2026-04-05
133,150,2026-04-05
135,100,2026-04-05
137,100,2026-04-05
140,150,2026-04-05
143,150,2026-04-05
145,65,2026-04-05
146,200,2026-04-05
147,300,2026-04-05
149,100,2026-04-05
150,65,2026-04-05
151,200,2026-04-05
152,50,2026-04-05
153,56,2026-04-05
157,50,2026-04-05
159,100,2026-04-05
161,200,2026-04-05
162,100,2026-04-05
163,100,2026-04-05
169,50,2026-04-05
204,100,2026-04-05
206,100,2026-04-05
207,100,2026-04-05
208,150,2026-04-05
209,50,2026-04-05
210,65,2026-04-05
211,150,2026-04-05
212,65,2026-04-05
213,65,2026-04-05
214,65,2026-04-05
215,65,2026-04-05
218,65,2026-04-05
219,65,2026-04-05
221,65,2026-04-05
224,300,2026-04-05
225,130,2026-04-05
226,130,2026-04-05
227,200,2026-04-05
229,200,2026-04-05
231,50,2026-04-05
232,150,2026-04-05
233,50,2026-04-05
234,150,2026-04-05
238,150,2026-04-05
239,100,2026-04-05
240,100,2026-04-05
241,150,2026-04-05
242,100,2026-04-05
244,100,2026-04-05
246,150,2026-04-05
247,300,2026-04-05
248,100,2026-04-05
249,150,2026-04-05
250,59,2026-04-05
252,195,2026-04-05
254,100,2026-04-05
255,100,2026-04-05
258,200,2026-04-05
261,300,2026-04-05
262,300,2026-04-05
263,65,2026-04-05
265,110,2026-04-05
267,150,2026-04-05
270,300,2026-04-05
273,150,2026-04-05
274,65,2026-04-05
275,100,2026-04-05
276,100,2026-04-05
278,200,2026-04-05
279,300,2026-04-05
282,150,2026-04-05
284,90,2026-04-05
285,150,2026-04-05
287,100,2026-04-05
288,65,2026-04-05
300,300,2026-04-05
302,150,2026-04-05
304,100,2026-04-05
308,100,2026-04-05
310,150,2026-04-05
311,50,2026-04-05
315,150,2026-04-05
317,150,2026-04-05
318,115,2026-04-05
321,150,2026-04-05
322,150,2026-04-05
323,150,2026-04-05
325,300,2026-04-05
326,165,2026-04-05
327,150,2026-04-05
328,150,2026-04-05
329,200,2026-04-05
332,100,2026-04-05
335,100,2026-04-05
337,300,2026-04-05
339,100,2026-04-05
344,100,2026-04-05
345,50,2026-04-05
351,65,2026-04-05
352,150,2026-04-05
353,150,2026-04-05
354,150,2026-04-05
